TSNE1,TSNE2,TSNE3,Set Label
0.903,-2.351,-2.385,Set B
8.397,4.695,-0.696,Set B
-2.190,-7.109,-7.541,Set B
5.746,-6.991,0.663,Set B
-2.729,4.187,-8.865,Set B
-3.642,-8.485,4.178,Ambiguous
-0.357,-0.601,3.029,Ambiguous
-1.267,-0.371,3.262,Set A
1.233,-0.408,2.759,Set B
-1.094,-7.082,5.773,Ambiguous
-3.209,-6.582,0.372,Set B
-2.381,9.018,-6.135,Set B
0.138,-4.872,-13.747,Set B
8.868,2.929,5.283,Ambiguous
9.871,-4.887,-2.844,Set B
7.943,-1.277,0.057,Set B
7.276,-0.705,0.741,Set B
5.300,-1.835,-1.858,Set B
2.920,-9.371,-2.537,Set B
2.996,-9.801,-0.454,Set B
3.717,-9.573,0.187,Set B
-6.732,2.029,-4.324,Set B
7.652,-7.151,-0.953,Set B
8.512,-5.482,-0.050,Set B
-3.638,0.011,5.265,Ambiguous
