Subject,Run,TSNE1,TSNE2,TSNE3,Positive,Negative,Future,Past,Myself,People,Surroundings,Images,Words,Specific,Intrusive,Set Label,Group Probability
sub-010111,post-ses-02-run-01-acq-AP,-7.878324,-3.3606563,1.9080298,0.2,-0.2857142857142857,-1.6,1.0,0.0,-0.2,0.35294117647058826,0.14285714285714285,0.10526315789473684,0.25,-0.7142857142857143,Ambiguous,0.6016287952486661
sub-010111,post-ses-02-run-01-acq-PA,-8.419313,-2.690987,1.9630233,-0.4,-0.2857142857142857,-1.6,0.5,0.14285714285714285,0.4,0.5882352941176471,0.0,0.21052631578947367,0.125,-0.7142857142857143,Ambiguous,0.5147547517539662
sub-010111,post-ses-02-run-02-acq-AP,-7.026541,0.025076037,3.2369084,-0.6,0.5714285714285714,-1.2,0.875,0.0,0.0,0.9411764705882353,0.42857142857142855,-0.3157894736842105,-0.625,-0.42857142857142855,Ambiguous,0.7660605763417913
sub-010111,post-ses-02-run-02-acq-PA,-7.926769,0.21424116,-1.8599203,0.0,-0.2857142857142857,-1.0,1.0,0.14285714285714285,0.0,-0.35294117647058826,0.5714285714285714,-0.10526315789473684,-1.125,0.5714285714285714,Ambiguous,0.7965250096502849
sub-010112,post-ses-02-run-01-acq-AP,-1.6713767,9.089467,-8.845357,-0.4,0.42857142857142855,1.2,0.5,0.2857142857142857,0.6,0.23529411764705882,-1.0,0.3157894736842105,-0.625,0.0,Set B,0.9574305035199663
sub-010112,post-ses-02-run-01-acq-PA,-7.3191633,1.3734351,-0.49839944,-0.8,0.7142857142857143,-1.2,0.375,0.14285714285714285,0.4,-0.35294117647058826,0.0,-0.21052631578947367,-1.125,0.7142857142857143,Set A,0.8172219810630965
sub-010112,post-ses-02-run-02-acq-AP,3.8501248,8.4760895,3.4301903,-0.4,0.8571428571428571,-0.2,0.625,-0.7142857142857143,-0.2,0.11764705882352941,-0.7142857142857143,0.42105263157894735,-1.0,0.0,Ambiguous,0.7380041619497495
sub-010113,post-ses-02-run-01-acq-AP,8.669747,0.77701527,-4.7754917,1.0,-0.2857142857142857,0.4,0.75,-0.8571428571428571,1.2,0.8235294117647058,-0.5714285714285714,0.0,-0.25,-0.42857142857142855,Set B,0.9984967530033586
sub-010113,post-ses-02-run-01-acq-PA,7.7554493,1.7641934,-4.574087,0.2,-0.2857142857142857,0.4,0.0,-0.7142857142857143,1.0,0.47058823529411764,-0.5714285714285714,0.3157894736842105,0.5,-0.42857142857142855,Set B,0.996374924629917
sub-010113,post-ses-02-run-02-acq-AP,-1.851018,-3.6360002,-9.076289,0.4,-0.7142857142857143,1.2,0.25,-0.14285714285714285,1.0,0.0,0.5714285714285714,0.9473684210526315,0.25,-0.7142857142857143,Set B,0.9997716586459389
sub-010113,post-ses-02-run-02-acq-PA,7.5267897,2.1237488,-6.8770804,0.6,-0.7142857142857143,1.2,-0.25,0.14285714285714285,1.0,0.23529411764705882,-0.5714285714285714,0.9473684210526315,0.25,-1.0,Set B,0.9988483260185044
