Subject,Run,Positive,Negative,Future,Past,Myself,People,Surroundings,Vigilance,Images,Words,Specific,Intrusive
sub-010121,post-ses-02-run-02-acq-AP,75.0,20.0,30.0,80.0,60.0,55.0,40.0,95.0,45.0,80.0,80.0,40.0
sub-010121,post-ses-02-run-02-acq-PA,75.0,25.0,30.0,95.0,65.0,90.0,20.0,85.0,90.0,60.0,70.0,65.0
sub-010122,post-ses-02-run-01-acq-AP,60.0,35.0,50.0,50.0,55.0,50.0,20.0,50.0,50.0,55.0,65.0,40.0
sub-010122,post-ses-02-run-01-acq-PA,50.0,45.0,35.0,50.0,55.0,55.0,55.0,70.0,45.0,45.0,60.0,60.0
sub-010122,post-ses-02-run-02-acq-AP,65.0,55.0,60.0,65.0,60.0,80.0,60.0,85.0,70.0,55.0,40.0,55.0
sub-010122,post-ses-02-run-02-acq-PA,55.0,55.0,75.0,40.0,45.0,80.0,60.0,90.0,55.0,70.0,70.0,65.0
sub-010123,post-ses-02-run-01-acq-AP,65.0,55.0,55.0,45.0,35.0,65.0,60.0,45.0,55.0,40.0,45.0,65.0
sub-010123,post-ses-02-run-01-acq-PA,55.0,55.0,65.0,45.0,45.0,55.0,60.0,60.0,60.0,35.0,45.0,65.0
sub-010123,post-ses-02-run-02-acq-AP,50.0,45.0,40.0,20.0,55.0,70.0,45.0,65.0,65.0,25.0,45.0,55.0
sub-010123,post-ses-02-run-02-acq-PA,70.0,40.0,70.0,35.0,40.0,65.0,20.0,40.0,60.0,25.0,45.0,45.0
sub-010124,post-ses-02-run-01-acq-AP,45.0,5.0,65.0,60.0,40.0,85.0,60.0,95.0,85.0,45.0,60.0,20.0
sub-010124,post-ses-02-run-01-acq-PA,50.0,0.0,20.0,35.0,85.0,60.0,80.0,100.0,55.0,15.0,70.0,65.0
sub-010124,post-ses-02-run-02-acq-AP,65.0,45.0,70.0,45.0,70.0,85.0,65.0,100.0,75.0,40.0,80.0,60.0
sub-010124,post-ses-02-run-02-acq-PA,60.0,15.0,55.0,40.0,75.0,85.0,60.0,90.0,75.0,35.0,50.0,50.0
sub-010125,post-ses-02-run-01-acq-AP,10.0,80.0,30.0,50.0,80.0,50.0,5.0,75.0,85.0,85.0,95.0,95.0
sub-010125,post-ses-02-run-01-acq-PA,25.0,90.0,85.0,70.0,45.0,90.0,15.0,90.0,65.0,80.0,90.0,85.0
sub-010125,post-ses-02-run-02-acq-AP,30.0,45.0,95.0,35.0,75.0,75.0,30.0,100.0,65.0,95.0,90.0,50.0
sub-010125,post-ses-02-run-02-acq-PA,10.0,30.0,10.0,25.0,95.0,15.0,95.0,85.0,15.0,95.0,15.0,55.0
sub-010126,post-ses-02-run-01-acq-AP,85.0,15.0,75.0,30.0,40.0,90.0,75.0,100.0,35.0,60.0,70.0,25.0
sub-010126,post-ses-02-run-01-acq-PA,75.0,25.0,65.0,35.0,90.0,90.0,75.0,90.0,35.0,60.0,80.0,25.0
sub-010126,post-ses-02-run-02-acq-AP,70.0,25.0,75.0,45.0,55.0,70.0,60.0,60.0,35.0,75.0,50.0,20.0
sub-010126,post-ses-02-run-02-acq-PA,85.0,5.0,90.0,90.0,75.0,65.0,65.0,85.0,35.0,75.0,70.0,25.0
sub-010127,post-ses-02-run-01-acq-AP,70.0,20.0,80.0,75.0,45.0,90.0,75.0,70.0,90.0,15.0,85.0,75.0
sub-010127,post-ses-02-run-01-acq-PA,75.0,35.0,65.0,55.0,30.0,95.0,60.0,45.0,100.0,20.0,90.0,70.0
sub-010127,post-ses-02-run-02-acq-AP,80.0,10.0,95.0,30.0,35.0,75.0,15.0,65.0,90.0,45.0,95.0,70.0
sub-010127,post-ses-02-run-02-acq-PA,85.0,5.0,65.0,60.0,15.0,95.0,10.0,35.0,70.0,70.0,90.0,60.0
sub-010128,post-ses-02-run-01-acq-AP,50.0,50.0,85.0,60.0,80.0,85.0,100.0,40.0,100.0,50.0,100.0,95.0
sub-010128,post-ses-02-run-01-acq-PA,70.0,0.0,75.0,60.0,50.0,65.0,100.0,50.0,100.0,20.0,100.0,100.0
sub-010128,post-ses-02-run-02-acq-AP,50.0,50.0,90.0,40.0,60.0,50.0,50.0,20.0,100.0,0.0,65.0,50.0
sub-010128,post-ses-02-run-02-acq-PA,50.0,50.0,50.0,15.0,45.0,50.0,15.0,15.0,75.0,0.0,10.0,35.0
sub-010020,post-ses-02-run-01-acq-AP,90.0,50.0,50.0,50.0,100.0,55.0,90.0,50.0,90.0,50.0,20.0,50.0
sub-010020,post-ses-02-run-01-acq-PA,90.0,20.0,50.0,50.0,50.0,50.0,20.0,50.0,50.0,90.0,50.0,95.0
sub-010020,post-ses-02-run-02-acq-AP,50.0,50.0,90.0,25.0,50.0,85.0,55.0,50.0,50.0,80.0,70.0,90.0
sub-010020,post-ses-02-run-02-acq-PA,80.0,50.0,90.0,85.0,30.0,80.0,85.0,65.0,90.0,20.0,50.0,50.0
sub-010129,post-ses-02-run-01-acq-AP,35.0,5.0,55.0,35.0,15.0,30.0,50.0,40.0,10.0,35.0,25.0,40.0
sub-010129,post-ses-02-run-01-acq-PA,40.0,40.0,25.0,80.0,10.0,60.0,30.0,25.0,70.0,45.0,35.0,20.0
sub-010129,post-ses-02-run-02-acq-AP,45.0,40.0,80.0,65.0,30.0,45.0,40.0,60.0,15.0,45.0,75.0,25.0
sub-010129,post-ses-02-run-02-acq-PA,30.0,35.0,60.0,35.0,20.0,60.0,65.0,45.0,40.0,40.0,80.0,40.0
sub-010130,post-ses-02-run-01-acq-AP,10.0,95.0,70.0,15.0,65.0,35.0,100.0,40.0,40.0,100.0,5.0,100.0
sub-010130,post-ses-02-run-01-acq-PA,0.0,100.0,75.0,60.0,70.0,65.0,80.0,45.0,0.0,100.0,5.0,95.0
sub-010130,post-ses-02-run-02-acq-AP,20.0,95.0,85.0,70.0,75.0,70.0,85.0,100.0,0.0,100.0,25.0,100.0
sub-010130,post-ses-02-run-02-acq-PA,70.0,85.0,95.0,60.0,20.0,80.0,65.0,85.0,0.0,100.0,0.0,90.0
sub-010131,post-ses-02-run-01-acq-AP,45.0,60.0,20.0,55.0,40.0,30.0,55.0,85.0,85.0,15.0,45.0,10.0
